"PVWatts Hourly PV Performance Data"
"Requested Location","qatar"
"Location","ABU DHABI, UNITED ARAB EMIRATES"
"Latitude (DD)","24.43"
"Longitude (DD)","54.65"
"Elevation (m)","27"
"DC System Size (kW)","8"
"Module Type","Standard"
"Array Type","Fixed (open rack)"
"Array Tilt (deg)","20"
"Array Azimuth (deg)","180"
"System Losses (%)","14.08"
"DC to AC Size Ratio","1.2"
"Inverter Efficiency (%)","96"
"Ground Coverage Ratio","NA"
"Albedo","From weather file"
"Bifacial","No (0)"
"Monthly Irradiance Loss (%)",""
"","Jan","0"
"","Feb","0"
"","Mar","0"
"","Apr","0"
"","May","0"
"","June","0"
"","July","0"
"","Aug","0"
"","Sept","0"
"","Oct","0"
"","Nov","0"
"","Dec","0"

"Month","Day","Hour","Beam Irradiance (W/m2)","Diffuse Irradiance (W/m2)","Ambient Temperature (C)","Wind Speed (m/s)","Albedo","Plane of Array Irradiance (kW/m2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","1","0","0","0","16","0.5","0.27","0","16","0","0"
"1","1","1","0","0","15.6","2.1","0.27","0","15.6","0","0"
"1","1","2","0","0","15.1","2.1","0.27","0","15.1","0","0"
"1","1","3","0","0","14.8","2.1","0.27","0","14.8","0","0"
"1","1","4","0","0","14.4","1","0.27","0","14.4","0","0"
"1","1","5","0","0","14.2","1.5","0.27","0","14.2","0","0"
"1","1","6","0","0","13.7","1.5","0.27","0","13.7","0","0"
"1","1","7","129","28","15","1","0.27","66.752","16.873","337.072","293.42"
"1","1","8","284","145","17.4","1.5","0.27","291.196","25.302","1975.214","1873.516"
"1","1","9","795","67","19.9","2.1","0.27","589.171","34.046","3974.882","3802.327"
"1","1","10","899","57","23","1.5","0.27","766.518","43.847","4935.916","4729.308"
"1","1","11","833","113","23.9","1.5","0.27","856.771","47.155","5398.579","5175.578"
"1","1","12","843","116","24.8","1","0.27","890.98","52.04","5489.937","5263.698"
"1","1","13","843","106","25","2.1","0.27","848.799","45.301","5394.314","5171.463"
"1","1","14","810","92","26","3.1","0.27","726.094","40.516","4737.865","4538.275"
"1","1","15","723","77","25","2.1","0.27","534.06","37.825","3548.527","3391.08"
"1","1","16","497","61","24","4.6","0.27","283.602","28.517","1873.649","1775.55"
"1","1","17","0","23","22","3.1","0.27","22.069","22.37","83.674","49"
"1","1","18","0","0","21.2","3.1","0.27","0","21.2","0","0"
"1","1","19","0","0","20","3.1","0.27","0","20","0","0"
"1","1","20","0","0","20","3.1","0.27","0","20","0","0"
"1","1","21","0","0","19","3.1","0.27","0","19","0","0"
"1","1","22","0","0","19","2.1","0.27","0","19","0","0"
"1","1","23","0","0","19","1","0.27","0","19","0","0"
"1","2","0","0","0","16.8","0.5","0.27","0","16.8","0","0"
"1","2","1","0","0","15.9","2.1","0.27","0","15.9","0","0"
"1","2","2","0","0","15","0.5","0.27","0","15","0","0"
"1","2","3","0","0","14.4","2.1","0.27","0","14.4","0","0"
